frame,time_s,F_roi1,F_roi2,F_roi3,F_roi4,F_roi5,F_roi6,F_roi7,F_roi8,F_roi9,F_roi10,F_roi11,F_roi12,F_roi13,F_roi14,F_roi15,F_roi16,F_roi17,F_roi18,F_roi19,F_roi20,F0_roi1,FF0_roi1,F0_roi2,FF0_roi2,F0_roi3,FF0_roi3,F0_roi4,FF0_roi4,F0_roi5,FF0_roi5,F0_roi6,FF0_roi6,F0_roi7,FF0_roi7,F0_roi8,FF0_roi8,F0_roi9,FF0_roi9,F0_roi10,FF0_roi10,F0_roi11,FF0_roi11,F0_roi12,FF0_roi12,F0_roi13,FF0_roi13,F0_roi14,FF0_roi14,F0_roi15,FF0_roi15,F0_roi16,FF0_roi16,F0_roi17,FF0_roi17,F0_roi18,FF0_roi18,F0_roi19,FF0_roi19,F0_roi20,FF0_roi20,FF0_roi1_smooth,FF0_roi2_smooth,FF0_roi3_smooth,FF0_roi4_smooth,FF0_roi5_smooth,FF0_roi6_smooth,FF0_roi7_smooth,FF0_roi8_smooth,FF0_roi9_smooth,FF0_roi10_smooth,FF0_roi11_smooth,FF0_roi12_smooth,FF0_roi13_smooth,FF0_roi14_smooth,FF0_roi15_smooth,FF0_roi16_smooth,FF0_roi17_smooth,FF0_roi18_smooth,FF0_roi19_smooth,FF0_roi20_smooth
0,0.0,28.590778350830078,33.30747604370117,35.36138916015625,31.7535457611084,32.9295539855957,32.39438247680664,23.081951141357422,18.570167541503906,20.4177188873291,20.25048065185547,18.93142318725586,17.884014129638672,19.496740341186523,18.811668395996094,16.300033569335938,16.222009658813477,15.932978630065918,15.100800514221191,12.514893531799316,14.491442680358887,26.57652053833008,1.07579087750012,32.306505584716795,1.0309835570535337,34.14685287475586,1.035568029939833,31.086957931518555,1.0214426844549496,31.910779190063476,1.031925726083475,31.28795623779297,1.0353626881412348,20.49257125854492,1.1263570027471683,15.812025260925292,1.174433207325727,16.957833099365235,1.2040287675725136,16.66562614440918,1.2151046997204422,14.909623908996583,1.26974518625064,14.038421630859375,1.2739333950709875,15.417634010314941,1.26457407979347,14.754776573181152,1.2749544734000855,12.876751136779784,1.2658498557744315,12.251357650756836,1.3240989383581787,12.155015563964843,1.3108151566092063,11.107542991638184,1.3595086263081901,9.071129608154298,1.3796400307795538,11.176677894592284,1.2965787165943483,1.0799781416191636,1.0332518141518583,1.0384650610940864,1.0255328427006034,1.036163796713676,1.0395101137663691,1.1328937477157672,1.1821666047081894,1.2072054997557902,1.2181737860738056,1.274694650573633,1.280007361574005,1.271245762478642,1.2803915041091687,1.272946336973177,1.3311124765672582,1.3161567172424342,1.3675144007764028,1.3890332600589952,1.3000059770407
1,0.016666666666666666,28.669191360473633,33.26545333862305,35.38911056518555,31.802797317504883,33.01972579956055,32.47254943847656,23.165157318115234,18.61865234375,20.43177604675293,20.257003784179688,18.982650756835938,17.857643127441406,19.372554779052734,18.72490882873535,16.283187866210938,16.27203369140625,15.9401216506958,15.166865348815918,12.56743049621582,14.335738182067871,26.57652053833008,1.0787413393384357,32.306505584716795,1.0296828064982646,34.14685287475586,1.0363798589283193,31.086957931518555,1.0230270001832682,31.910779190063476,1.0347514738794714,31.28795623779297,1.0378609964703516,20.49257125854492,1.1304173120030463,15.812025260925292,1.1774995319391786,16.957833099365235,1.2048577154305011,16.66562614440918,1.2154961120962926,14.909623908996583,1.273181058938828,14.038421630859375,1.2720549073826495,15.417634010314941,1.2565193054973163,14.754776573181152,1.2690743730251033,12.876751136779784,1.2645416295808785,12.251357650756836,1.3281820803265045,12.155015563964843,1.3114028169533904,11.107542991638184,1.3654563714255812,9.071129608154298,1.385431698045478,11.176677894592284,1.2826475198863934,1.0813097212890388,1.0334833465776498,1.0388948048778524,1.0263357364362882,1.0368031758933784,1.04015378447578,1.132874838497741,1.1817409689692233,1.2084822166402855,1.2197209836992386,1.276095420681965,1.2759289877169997,1.2619844822121242,1.274305561650677,1.2716197439796717,1.3322597623675667,1.317108149887208,1.3694577933327636,1.3912680560367234,1.298806431728906
2,0.03333333333333333,28.780351638793945,33.406463623046875,35.493507385253906,32.019107818603516,33.17013168334961,32.632999420166016,23.24139404296875,18.707176208496094,20.49715805053711,20.344377517700195,19.040098190307617,17.79841423034668,19.232236862182617,18.64011573791504,16.317378997802734,16.312211990356445,15.986778259277344,15.20824146270752,12.624549865722656,14.469463348388672,26.57652053833008,1.0829239891386604,32.306505584716795,1.03404757086605,34.14685287475586,1.0394371485840093,31.086957931518555,1.0299852397631957,31.910779190063476,1.0394647992073562,31.28795623779297,1.0429891672102365,20.49257125854492,1.1341375247519334,15.812025260925292,1.183098047201158,16.957833099365235,1.2087132790158406,16.66562614440918,1.2207388634194896,14.909623908996583,1.277034102705882,14.038421630859375,1.2678358506644407,15.417634010314941,1.2474181738466208,14.754776573181152,1.2633275499268508,12.876751136779784,1.2671968903084183,12.251357650756836,1.3314615780030508,12.155015563964843,1.315241282509935,11.107542991638184,1.369181417902804,9.071129608154298,1.3917285289777017,11.176677894592284,1.2946121812626958,1.0825303589645183,1.0336404357230196,1.0392596069416378,1.0271417550952586,1.0374005245394824,1.0407461256486428,1.13252148712064,1.1808717388070231,1.2094920832421883,1.2210117164447791,1.27709287231522,1.2705853397120324,1.2506825620317592,1.2666660567230235,1.2694980247855785,1.3329722795525896,1.317593446792841,1.3709922879237277,1.3930303473102388,1.296886454661109
3,0.05,29.083982467651367,33.78868865966797,35.850399017333984,32.279747009277344,33.449981689453125,32.8977165222168,23.479999542236328,18.94563102722168,20.782058715820312,20.617244720458984,19.23895263671875,18.038009643554688,19.42177391052246,18.847793579101562,16.642427444458008,16.59806251525879,16.280546188354492,15.567512512207031,12.966938972473145,14.840771675109863,26.57652053833008,1.0943487664498779,32.306505584716795,1.045878780391908,34.14685287475586,1.0498888184169244,31.086957931518555,1.0383694371249315,31.910779190063476,1.048234563318621,31.28795623779297,1.0514498381482453,20.49257125854492,1.145781036747437,15.812025260925292,1.1981786466051354,16.957833099365235,1.2255138138255546,16.66562614440918,1.2371119177766658,14.909623908996583,1.2903714241316186,14.038421630859375,1.284902969711594,15.417634010314941,1.2597116974970743,14.754776573181152,1.2774028454866633,12.876751136779784,1.292439938279334,12.251357650756836,1.3547937288593834,12.155015563964843,1.3394097360615753,11.107542991638184,1.4015261992617392,9.071129608154298,1.4294734539805045,11.176677894592284,1.327833889020852,1.0834311252616795,1.0336668501278141,1.0394819647462357,1.0278510522487827,1.037860361738872,1.0411880104944156,1.1317188448887507,1.1794562394987356,1.209973931651605,1.2217535963555497,1.2773608871166606,1.264046011087674,1.2378002516211422,1.2576988699984564,1.2664697098723567,1.3329449924030332,1.3173210991246704,1.3717167887576516,1.3938565239606304,1.2941454512238635
4,0.06666666666666667,28.56515884399414,33.198787689208984,35.28496551513672,31.738771438598633,32.8834114074707,32.33664321899414,22.97351837158203,18.401817321777344,20.245420455932617,20.131635665893555,18.830114364624023,17.51957130432129,18.866037368774414,18.32784080505371,16.098731994628906,16.12799835205078,15.798632621765137,14.961348533630371,12.375777244567871,14.271476745605469,26.57652053833008,1.0748268872441726,32.306505584716795,1.0276192701235476,34.14685287475586,1.0333299424270588,31.086957931518555,1.0209674265496147,31.910779190063476,1.0304797388874192,31.28795623779297,1.033517273331342,20.49257125854492,1.1210656818871674,15.812025260925292,1.1637862334594133,16.957833099365235,1.1938683637999976,16.66562614440918,1.2079735553558615,14.909623908996583,1.2629503252098657,14.038421630859375,1.2479730104280116,15.417634010314941,1.2236661835501068,14.754776573181152,1.242163221798092,12.876751136779784,1.2502169082577201,12.251357650756836,1.3164253964175525,12.155015563964843,1.2997624345790457,11.107542991638184,1.3469539163515596,9.071129608154298,1.3643038716416236,11.176677894592284,1.2768979190597027,1.0830818299644636,1.0333533704787732,1.0392370330005662,1.0279638970619294,1.0377465017217808,1.0410328120995775,1.1301942966358363,1.1773828169793732,1.2088948103750983,1.2207524042240103,1.275671302437846,1.2577871452270168,1.2274081208402041,1.2498960721438892,1.262689063117925,1.331081837991807,1.3152908138560757,1.3700540547820128,1.3919293257280163,1.290722383581619
5,0.08333333333333333,29.26553726196289,33.78545379638672,35.935813903808594,32.406620025634766,33.56815719604492,33.01276779174805,23.60111427307129,19.07969856262207,20.930511474609375,20.743635177612305,19.457611083984375,18.12628746032715,19.476205825805664,18.989721298217773,16.806371688842773,16.756868362426758,16.43951416015625,15.643963813781738,13.047136306762695,14.914765357971191,26.57652053833008,1.1011801646402346,32.306505584716795,1.045778649993318,34.14685287475586,1.052390216914405,31.086957931518555,1.0424506668366618,31.910779190063476,1.0519378732844458,31.28795623779297,1.0551270124787397,20.49257125854492,1.1516912141140014,15.812025260925292,1.2066574804792312,16.957833099365235,1.2342680430905317,16.66562614440918,1.2446958186789263,14.909623908996583,1.305037015202208,14.038421630859375,1.291191270426142,15.417634010314941,1.2632421947995,14.754776573181152,1.2870219487250127,12.876751136779784,1.305171740163467,12.251357650756836,1.3677560348906794,12.155015563964843,1.352488120944359,11.107542991638184,1.408409026691015,9.071129608154298,1.4383143963717873,11.176677894592284,1.3344542536371689,1.0816878877476328,1.032758733528964,1.038604588558862,1.0275775097314168,1.0371552371391093,1.0403819797520315,1.1280955049043553,1.1747960208457449,1.2065098495491242,1.2182892723180845,1.2723511259753488,1.2518762470092126,1.219317238477244,1.243222677650566,1.258351068770792,1.3276935049841132,1.3118029844141637,1.3663858418481571,1.3876840779008457,1.2867963428721465
6,0.1,28.638004302978516,33.18868637084961,35.313934326171875,31.831560134887695,32.986087799072266,32.455810546875,23.063833236694336,18.52590560913086,20.382028579711914,20.19611167907715,18.893125534057617,17.51246452331543,18.80247688293457,18.354291915893555,16.10807228088379,16.165475845336914,15.86793327331543,15.081729888916016,12.497381210327148,14.310067176818848,26.57652053833008,1.0775678577515537,32.306505584716795,1.027306598784554,34.14685287475586,1.0341783020443098,31.086957931518555,1.0239522376235535,31.910779190063476,1.0336973473008653,31.28795623779297,1.0373260017434878,20.49257125854492,1.1254728821341666,15.812025260925292,1.1716339496947372,16.957833099365235,1.201924117325748,16.66562614440918,1.2118423576813728,14.909623908996583,1.2671765330483862,14.038421630859375,1.2474667725337003,15.417634010314941,1.2195435999035293,14.754776573181152,1.2439559369035122,12.876751136779784,1.250942268727583,12.251357650756836,1.3194844445944554,12.155015563964843,1.3054638383481814,11.107542991638184,1.3577917186788853,9.071129608154298,1.3777094750242456,11.176677894592284,1.2803506830721694,1.0794547132859489,1.0319416760314541,1.0376644082753557,1.0267891104539637,1.036182860641758,1.039336962739681,1.125570132236767,1.1718404006946597,1.2030741793101387,1.2146453329056963,1.2677273654257413,1.2463808213134129,1.2133386733205613,1.2376437010097305,1.2536507110794664,1.3230906820451545,1.3071580042260411,1.3610939058074294,1.3815561057675676,1.2825464202332169
7,0.11666666666666667,28.7696590423584,33.36040496826172,35.48276901245117,31.950944900512695,33.05248260498047,32.545467376708984,23.188154220581055,18.650121688842773,20.459569931030273,20.299474716186523,18.989524841308594,17.587350845336914,18.77688980102539,18.306379318237305,16.154102325439453,16.243131637573242,15.951671600341797,15.156648635864258,12.579869270324707,14.358221054077148,26.57652053833008,1.0825216566956257,32.306505584716795,1.0326218934691436,34.14685287475586,1.0391226723761395,31.086957931518555,1.0277925865534163,31.910779190063476,1.0357779861192642,31.28795623779297,1.040191539816751,20.49257125854492,1.131539518785967,15.812025260925292,1.1794897479028819,16.957833099365235,1.2064967151844486,16.66562614440918,1.2180445271176559,14.909623908996583,1.2736421090977463,14.038421630859375,1.2528011558419254,15.417634010314941,1.2178840014273908,14.754776573181152,1.2407086767760132,12.876751136779784,1.254516931627155,12.251357650756836,1.3258229904479046,12.155015563964843,1.312353037838359,11.107542991638184,1.3645365718840128,9.071129608154298,1.3868029466822196,11.176677894592284,1.284659107964829,1.076587721254174,1.0309609347393103,1.03649626900428,1.0256959194262887,1.0349256648806275,1.0379992103504285,1.1227658411755306,1.1686605061229265,1.1988429297945982,1.2101017182547689,1.2621270284855959,1.2413683730187697,1.2092834941584552,1.2331241567126268,1.2487829742924572,1.3175840578401328,1.301656266718815,1.354560002511175,1.3739807346166313,1.2781517068026012
8,0.13333333333333333,27.997772216796875,32.743839263916016,34.86338806152344,31.379236221313477,32.503875732421875,31.941978454589844,22.428571701049805,17.923372268676758,19.752052307128906,19.57809829711914,18.255155563354492,16.775545120239258,17.970338821411133,17.498790740966797,15.408271789550781,15.57487678527832,15.193769454956055,14.45104694366455,11.880196571350098,13.645301818847656,26.57652053833008,1.053477718289608,32.306505584716795,1.0135370158822163,34.14685287475586,1.0209839304780355,31.086957931518555,1.0094019585460494,31.910779190063476,1.0185860877550454,31.28795623779297,1.0209033217710421,20.49257125854492,1.0944732809796924,15.812025260925292,1.1335279303511505,16.957833099365235,1.1647745435039258,16.66562614440918,1.1747592396153088,14.909623908996583,1.2243873939931638,14.038421630859375,1.1949737343237445,15.417634010314941,1.1655704636255044,14.754776573181152,1.1859746336500459,12.876751136779784,1.1965962241469612,12.251357650756836,1.2712776191229853,12.155015563964843,1.25,11.107542991638184,1.3010120198988537,9.071129608154298,1.309671130778536,11.176677894592284,1.2208727805826622,1.0732923263270673,1.0298752464055974,1.0351799475998653,1.0243951568451075,1.0334799425066155,1.0364701718721752,1.1198302942631018,1.1654008867273515,1.194071231138955,1.2049395606332234,1.2558771228514822,1.236906407004431,1.206962769779222,1.2296290592504955,1.2439428426582704,1.3114843210342473,1.2955981653195892,1.347165887810736,1.3653932897364822,1.2737912937180667
9,0.15,28.64045524597168,33.436363220214844,35.438812255859375,31.931442260742188,33.100563049316406,32.529293060302734,22.913311004638672,18.405399322509766,20.23468017578125,20.069974899291992,18.661865234375,17.30222511291504,18.46300506591797,18.045042037963867,15.999332427978516,16.078767776489258,15.784194946289062,14.98007869720459,12.385597229003906,14.308053970336914,26.57652053833008,1.0776600798688032,32.306505584716795,1.0349730685832066,34.14685287475586,1.0378353866414038,31.086957931518555,1.0271652289388993,31.910779190063476,1.0372847009521915,31.28795623779297,1.0396745895793074,20.49257125854492,1.118127672489335,15.812025260925292,1.1640127699513119,16.957833099365235,1.1932350116441865,16.66562614440918,1.2042736783715065,14.909623908996583,1.2516657259955621,14.038421630859375,1.232490771959801,15.417634010314941,1.1975251879481357,14.754776573181152,1.2229966308512747,12.876751136779784,1.2424976034738857,12.251357650756836,1.3124070192739807,12.155015563964843,1.298574638858004,11.107542991638184,1.3486401725819717,9.071129608154298,1.3653864252882175,11.176677894592284,1.2801705574122086,1.0698458783932812,1.0287062989373918,1.0337635259298166,1.0229448956744964,1.0319016164769927,1.0348144432885564,1.116920037212759,1.162185952169167,1.189099050455189,1.1995498798366746,1.2493771661482054,1.2329395980918851,1.2059493025072014,1.227007987197545,1.2393018064460117,1.3050883353214595,1.2893343915595463,1.3393110937017665,1.3561868082283124,1.2697419845791753
